,source,actual,dr,total_len,keywords,textonly_len,numonly_len,tt_ratio,nt_ratio,height,width,channels,area,ta_ratio,na_ratio,white_pix,black_pix,wb_ratio,bw_ratio
0,ChartExtraction_Output/filter_1_correct/page70_0_12.png,CORRECT,10,23,3,7,7,0.8260869565217391,0.4782608695652174,921,1528,3,1407288,1.3501145465604767,0.7816452637981707,55782,1351506,0.041273956608405736,24.228353232225448
1,ChartExtraction_Output/filter_1_correct/page20_0_25.png,CORRECT,17,135,7,105,2,0.9851851851851852,0.07407407407407407,489,1633,3,798537,16.65545867004284,1.2522901255671308,53914,744623,0.07240442478945722,13.811310605779575
2,ChartExtraction_Output/filter_1_correct/page33_0_15.png,CORRECT,9,8,0,0,6,0.0,1.0,310,978,3,303180,0.0,2.638696483936935,11390,291790,0.03903492237568114,25.618086040386302
3,ChartExtraction_Output/filter_1_correct/page48_b_7.png,CORRECT,16,18,0,2,9,0.5,0.8333333333333334,271,1044,3,282924,3.1810662934215546,5.301777155702592,18027,264897,0.06805286583087011,14.694458312531204
4,ChartExtraction_Output/filter_1_correct/page49_a_133.png,CORRECT,12,0,0,0,0,0.0,0.0,200,1283,3,256600,0.0,0.0,12078,244522,0.04939432852667654,20.245239278026162
5,ChartExtraction_Output/filter_1_correct/page61_0_38.png,CORRECT,19,57,5,41,9,0.9298245614035088,0.2807017543859649,346,1574,3,544604,9.731841852061313,2.9379145213770004,40897,503707,0.0811920421991356,12.31647798127002
6,ChartExtraction_Output/filter_1_correct/page49_a_4.png,CORRECT,14,19,0,2,11,0.10526315789473684,0.8947368421052632,266,1403,3,373198,0.5359085525645904,4.555222696799018,21206,351992,0.06024568740198641,16.598698481561822
7,ChartExtraction_Output/filter_1_correct/page92_0_17.png,CORRECT,11,31,1,21,10,0.967741935483871,0.3225806451612903,704,1346,3,947584,3.1659462380116175,1.055315412670539,41681,905903,0.0460104448268744,21.734195436769753
8,ChartExtraction_Output/filter_1_correct/page23_0_11.png,CORRECT,22,16,0,5,11,0.3125,0.75,590,1570,3,926300,0.5397819281010472,1.2954766274425134,82480,843820,0.09774596477921832,10.230601357904947
9,ChartExtraction_Output/filter_1_correct/page92_0_9.png,CORRECT,10,5,0,2,3,0.4,0.6,471,1504,3,708384,0.2823327460812215,0.4234991191218322,29253,679131,0.04307416389474196,23.215772741257307
10,ChartExtraction_Output/filter_1_correct/page114_0_8.png,CORRECT,21,48,3,24,20,0.625,0.4375,504,1412,3,711648,4.215567246728719,2.950897072710104,59610,652038,0.09142105214726749,10.93839959738299
11,ChartExtraction_Output/filter_1_correct/page19_0_4.png,CORRECT,11,40,3,26,9,0.825,0.25,501,1625,3,814125,4.053431598341778,1.2283126055581146,37558,776567,0.048364146300319225,20.6764737206454
12,ChartExtraction_Output/filter_1_correct/page43_0_11.png,CORRECT,11,3,0,0,3,1.0,1.0,243,688,3,167184,1.7944300890037326,1.7944300890037326,7348,159836,0.04597212142446007,21.752313554708763
13,ChartExtraction_Output/filter_1_correct/page19_0_20.png,CORRECT,10,2,0,0,2,0.0,1.0,463,598,3,276874,0.0,0.722350238736754,11848,265026,0.044705047806630295,22.368838622552328
14,ChartExtraction_Output/filter_1_correct/page19_0_10.png,CORRECT,15,39,3,27,7,0.8205128205128205,0.1794871794871795,479,826,3,395654,8.087874759259352,1.7692226035879834,23742,371912,0.06383768203230872,15.664729171931597
15,ChartExtraction_Output/filter_1_correct/page50_0_10.png,CORRECT,16,19,3,12,0,1.0,0.0,753,752,3,566256,3.3553728349015284,0.0,36978,529278,0.06986498588643397,14.31332143436638
16,ChartExtraction_Output/filter_1_correct/page61_0_26.png,CORRECT,22,15,2,4,8,0.6666666666666666,0.5333333333333333,196,767,3,150332,6.651943697948541,5.321554958358832,13105,137227,0.09549869923557318,10.471346814193057
17,ChartExtraction_Output/filter_1_correct/page50_0_3.png,CORRECT,13,52,3,35,4,0.9230769230769231,0.07692307692307693,625,1534,3,958750,5.00651890482399,0.4172099087353325,49331,909419,0.05424452315159459,18.435040846526526
18,ChartExtraction_Output/filter_1_correct/page49_0_18.png,CORRECT,15,59,3,18,14,0.8135593220338984,0.23728813559322035,602,1555,3,936110,5.127602525344244,1.4955507365587377,58138,877972,0.066218512663274,15.101517080050913
19,ChartExtraction_Output/filter_1_correct/page19_0_16.png,CORRECT,9,13,1,11,2,0.8461538461538461,0.15384615384615385,474,837,3,396738,2.772610639767302,0.5041110254122367,14874,381864,0.03895104016089498,25.673255344897136
20,ChartExtraction_Output/filter_1_correct/page49_a_62.png,CORRECT,11,6,0,0,6,0.0,1.0,221,1414,3,312494,0.0,1.9200368647078023,13618,298876,0.04556404662803303,21.94712880011749
21,ChartExtraction_Output/filter_1_correct/page61_0_21.png,CORRECT,20,12,2,6,5,0.75,0.4166666666666667,202,765,3,154530,5.824111822947001,3.2356176794150007,12437,142093,0.08752718290133926,11.425022111441667
22,ChartExtraction_Output/filter_1_correct/page84_0_20.png,CORRECT,9,7,0,0,7,0.0,1.0,381,1049,3,399669,0.0,1.7514493243158715,15454,384215,0.040222271384511274,24.861848065225832
23,ChartExtraction_Output/filter_1_correct/page58_0_20.png,CORRECT,11,48,0,1,40,0.020833333333333332,0.9791666666666666,522,1503,3,784566,0.1274590028117456,5.9905731321520435,34376,750190,0.04582305815859982,21.823074237840355
24,ChartExtraction_Output/filter_1_correct/page20_0_28.png,CORRECT,7,5,0,0,5,0.2,1.0,792,548,3,434016,0.23040625230406253,1.1520312615203125,12904,421112,0.03064267938220711,32.6342219466832
25,ChartExtraction_Output/filter_1_correct/page34_0_51.png,CORRECT,15,6,0,5,1,0.8333333333333334,0.16666666666666666,459,748,3,343332,1.456316335209069,0.2912632670418137,20484,322848,0.0634478144513827,15.760984182776802
26,ChartExtraction_Output/filter_1_correct/page48_b_50.png,CORRECT,9,15,0,3,12,1.0,0.8,326,1433,3,467158,3.2109050899267486,2.568724071941399,17081,450077,0.03795128389142302,26.34956969732451
27,ChartExtraction_Output/filter_1_correct/page34_0_52.png,CORRECT,17,23,0,11,4,0.4782608695652174,0.5217391304347826,459,749,3,343791,3.1996183727904457,3.490492770316849,23073,320718,0.07194170579761659,13.900143024314133
28,ChartExtraction_Output/filter_1_wrong/page24_0_15.png,WRONG,19,123,0,32,75,0.44715447154471544,0.6422764227642277,551,1418,3,781318,7.039387291730129,10.111119928121456,60152,721166,0.08340936760745792,11.989061045351775
29,ChartExtraction_Output/filter_1_wrong/page57_0_22.png,WRONG,22,72,3,35,0,1.0,0.0,269,1493,3,401617,17.9275279681886,0.0,34908,366709,0.09519264593996875,10.50501317749513
30,ChartExtraction_Output/filter_1_wrong/page52_a_1.png,WRONG,6,1,0,1,0,1.0,0.0,249,997,3,248253,0.4028148703137525,0.0,6076,242177,0.025089087733352052,39.85796576695194
31,ChartExtraction_Output/filter_1_wrong/page38_0_38.png,WRONG,24,117,4,81,2,0.9829059829059829,0.05128205128205128,205,1636,3,335380,34.289462699027965,1.7890154451666769,31974,303406,0.1053835454803135,9.489147432288735
32,ChartExtraction_Output/filter_1_wrong/page53_0_14.png,WRONG,24,127,5,73,13,0.9212598425196851,0.12598425196850394,490,1497,3,733530,15.950267882704184,2.181233214728777,70734,662796,0.10672061991925118,9.370260412248706
33,ChartExtraction_Output/filter_1_wrong/page60_0_4.png,WRONG,25,622,2,317,8,0.9903536977491961,0.05466237942122187,1399,1496,3,2092904,29.432788125972333,1.6245370069530183,211739,1881165,0.1125573780077771,8.884357628967738
34,ChartExtraction_Output/filter_1_wrong/page12_0_4.png,WRONG,21,35,0,33,0,1.0,0.08571428571428572,190,590,3,112100,31.222123104371097,2.6761819803746656,9472,102628,0.09229450052617219,10.834881756756756
35,ChartExtraction_Output/filter_1_wrong/page71_0_38.png,WRONG,23,61,0,46,0,1.0,0.01639344262295082,613,1504,3,921952,6.616396515219881,0.10846551664294886,84549,837403,0.10096572379129284,9.904351322901512
36,ChartExtraction_Output/filter_1_wrong/page72_0_43.png,WRONG,41,0,0,0,0,0.0,0.0,1007,1508,3,1518556,0.0,0.0,246159,1272397,0.19346084594666602,5.169004586466471
37,ChartExtraction_Output/filter_1_wrong/page2_b_41.png,WRONG,5,18,0,17,0,1.0,0.05555555555555555,207,1464,3,303048,5.939653124257544,0.3299807291254191,6049,296999,0.020367071943003176,49.09885931558935
38,ChartExtraction_Output/filter_1_wrong/page68_0_2.png,WRONG,19,171,3,117,4,0.9883040935672515,0.13450292397660818,1047,1327,3,1389369,12.163795219268604,1.6554277517347804,107009,1282360,0.08344692598022396,11.983664925380108
39,ChartExtraction_Output/filter_1_wrong/page78_0_2.png,WRONG,15,97,2,70,0,1.0,0.0,887,1496,3,1326952,7.309985591038711,0.0,79492,1247460,0.0637230853093486,15.6928999144568
40,ChartExtraction_Output/filter_1_wrong/page12_0_2 2.png,WRONG,0,0,0,0,0,0.0,0.0,264,1539,3,406296,0.0,0.0,1428,404868,0.003527075491271229,283.52100840336135
41,ChartExtraction_Output/filter_1_wrong/page44_0_12.png,WRONG,11,54,5,32,10,0.8703703703703703,0.2777777777777778,467,1402,3,654734,7.178487752278024,2.2910067294504333,29381,625353,0.0469830639654723,21.284265341547258
42,ChartExtraction_Output/filter_1_wrong/page7_a_8.png,WRONG,26,144,5,93,5,0.9722222222222222,0.05555555555555555,407,977,3,397639,35.20781412286018,2.0118750927348676,41278,356361,0.11583197936923513,8.633194437715005
43,ChartExtraction_Output/filter_1_wrong/page41_0_30.png,WRONG,4,10,0,8,2,0.8,0.2,229,1090,3,249610,3.2049997996875126,0.8012499499218781,4239,245371,0.01727588019774138,57.88417079499882
44,ChartExtraction_Output/filter_1_wrong/page8_b_4.png,WRONG,24,287,6,208,6,0.975609756097561,0.0627177700348432,1683,1516,3,2551428,10.97424657877863,0.7054872800643404,245183,2306245,0.10631264241223287,9.406219028236052
45,ChartExtraction_Output/filter_1_wrong/page69_0_7.png,WRONG,1,9,0,9,0,1.0,0.1111111111111111,406,1251,3,507906,1.7719814296346172,0.1968868255149575,3800,504106,0.0075380971462351174,132.65947368421052
46,ChartExtraction_Output/filter_1_wrong/page2_a_10.png,WRONG,29,214,1,162,7,0.9626168224299065,0.07009345794392523,1447,1517,3,2195099,9.384542565050596,0.6833404780376648,252659,1942440,0.13007300096785487,7.687990532694264
47,ChartExtraction_Output/filter_1_wrong/page48_b_1.png,WRONG,7,8,2,8,0,1.0,0.0,206,1243,3,256058,3.1242921525591862,0.0,7786,248272,0.03136076561190952,31.88697662471102
48,ChartExtraction_Output/filter_1_wrong/page79_0_6.png,WRONG,13,208,0,105,28,0.6298076923076923,0.375,1663,1559,3,2592617,5.052809574264151,3.0085431052870515,135924,2456693,0.05532803651087051,18.074019304905683
49,ChartExtraction_Output/filter_1_wrong/page41_0_25.png,WRONG,24,79,0,66,0,1.0,0.0379746835443038,434,744,3,322896,24.466081958277588,0.9290917199345918,30829,292067,0.10555454741549028,9.473774692659509
